Key;Transition;Timestamp
ART_A-466;Done;13.09.2025 10:42:42
ART_A-466;Releasing;12.09.2025 15:40:01
ART_A-466;Implementation;16.08.2025 13:11:07
ART_A-466;Program Backlog;16.08.2025 13:04:25
ART_A-466;Analysis;19.06.2025 16:22:33
ART_A-465;Created;19.06.2025 15:54:22
ART_A-465;Done;12.09.2025 09:14:53
ART_A-465;Program Backlog;11.09.2025 13:54:01
ART_A-465;Implementation;28.06.2025 12:55:41
ART_A-465;Program Backlog;28.06.2025 12:55:06
ART_A-464;Created;19.06.2025 15:05:37
ART_A-464;Done;14.09.2025 10:56:32
ART_A-464;Implementation;12.09.2025 09:21:16
ART_A-464;Program Backlog;28.06.2025 12:55:02
ART_A-462;Created;19.06.2025 11:02:05
ART_A-460;Created;19.06.2025 10:13:16
ART_A-460;Done;13.11.2025 12:09:18
ART_A-460;Implementation;28.06.2025 12:55:37
ART_A-460;Program Backlog;28.06.2025 12:55:04
ART_A-459;Created;19.06.2025 10:11:01
ART_A-459;Done;11.09.2025 13:52:10
ART_A-459;Implementation;28.08.2025 13:18:01
ART_A-459;Program Backlog;28.06.2025 12:55:00
ART_A-458;Created;19.06.2025 10:10:25
ART_A-458;Done;11.09.2025 13:57:48
ART_A-458;Implementation;28.08.2025 13:18:18
ART_A-458;Program Backlog;28.06.2025 12:54:54
ART_A-457;Created;19.06.2025 10:07:50
ART_A-457;Done;12.09.2025 09:18:11
ART_A-457;Releasing;31.08.2025 10:46:14
ART_A-457;Implementation;28.06.2025 12:55:24
ART_A-457;Program Backlog;28.06.2025 12:54:51
ART_A-456;Created;16.06.2025 11:41:25
ART_A-456;Funnel;22.11.2025 08:13:57
ART_A-456;Analysis;16.11.2025 15:43:06
ART_A-456;Implementation;13.10.2025 11:40:43
ART_A-456;Program Backlog;15.08.2025 11:12:57
ART_A-456;Analysis;26.07.2025 15:12:20
ART_A-454;Created;15.06.2025 15:34:18
ART_A-454;Analysis;31.10.2025 10:27:03
ART_A-454;Funnel;31.10.2025 10:26:53
ART_A-454;Analysis;31.10.2025 10:26:37
ART_A-454;Funnel;13.10.2025 16:17:30
ART_A-454;Analysis;22.06.2025 14:49:58
ART_A-454;Program Backlog;21.06.2025 10:59:30
ART_A-454;Analysis;15.06.2025 15:34:25
ART_A-453;Created;13.06.2025 14:20:10
ART_A-453;Done;11.09.2025 09:56:30
ART_A-453;Implementation;11.09.2025 09:54:57
ART_A-453;Program Backlog;16.06.2025 15:41:35
ART_A-453;Analysis;15.06.2025 14:03:35
ART_A-453;Program Backlog;13.06.2025 14:20:22
ART_A-452;Created;15.06.2025 13:26:31
ART_A-452;Funnel;07.11.2025 17:12:35
ART_A-452;Analysis;15.06.2025 13:27:48
ART_A-451;Created;15.06.2025 13:23:35
ART_A-450;Created;15.06.2025 12:05:04
ART_A-450;Done;08.09.2025 11:38:34
ART_A-450;Implementation;08.09.2025 11:38:06
ART_A-450;Done;21.08.2025 14:10:57
ART_A-450;Implementation;03.07.2025 14:09:08
ART_A-449;Created;15.06.2025 11:59:57
ART_A-449;Done;12.09.2025 14:03:14
ART_A-449;Releasing;12.09.2025 13:58:34
ART_A-449;Implementation;21.07.2025 13:43:08
ART_A-449;Program Backlog;15.06.2025 14:21:13
ART_A-449;Analysis;15.06.2025 12:00:08
ART_A-448;Created;15.06.2025 11:07:55
ART_A-448;Done;13.09.2025 10:43:50
ART_A-448;Releasing;13.09.2025 10:43:44
ART_A-448;Implementation;03.08.2025 11:36:09
ART_A-448;Program Backlog;16.06.2025 14:40:04
ART_A-448;Analysis;15.06.2025 11:08:48
ART_A-447;Created;15.06.2025 10:14:28
ART_A-447;Done;13.09.2025 10:43:22
ART_A-447;Releasing;13.09.2025 10:43:16
ART_A-447;Implementation;01.09.2025 09:30:01
ART_A-447;Program Backlog;21.06.2025 15:08:17
ART_A-447;Analysis;19.06.2025 08:14:16
ART_A-446;Created;14.06.2025 17:00:50
ART_A-446;Implementation;27.06.2025 09:01:22
ART_A-446;Program Backlog;19.06.2025 14:03:57
ART_A-446;Analysis;14.06.2025 17:02:06
ART_A-445;Created;14.06.2025 16:33:55
ART_A-445;Done;01.09.2025 09:28:04
ART_A-445;Releasing;01.09.2025 09:27:47
ART_A-445;Implementation;10.07.2025 15:17:05
ART_A-445;Program Backlog;16.06.2025 14:38:06
ART_A-445;Analysis;14.06.2025 16:34:02
ART_A-444;Created;14.06.2025 16:05:06
ART_A-444;Done;01.09.2025 13:38:37
ART_A-444;Releasing;01.09.2025 13:35:15
ART_A-444;Implementation;27.06.2025 09:01:56
ART_A-444;Program Backlog;14.06.2025 16:09:49
ART_A-443;Created;14.06.2025 15:29:32
ART_A-443;Done;12.09.2025 14:01:31
ART_A-443;Releasing;12.09.2025 13:59:44
ART_A-443;Implementation;21.07.2025 13:41:34
ART_A-443;Program Backlog;15.06.2025 14:21:10
ART_A-443;Analysis;14.06.2025 15:29:49
ART_A-441;Created;14.06.2025 14:45:36
ART_A-441;Analysis;19.10.2025 10:06:15
ART_A-439;Created;14.06.2025 14:04:01
ART_A-439;Done;24.11.2025 14:47:07
ART_A-439;Implementation;21.08.2025 13:18:53
ART_A-439;Program Backlog;20.06.2025 13:52:22
ART_A-439;Analysis;14.06.2025 14:09:32
ART_A-438;Created;14.06.2025 13:35:42
ART_A-438;Done;29.11.2025 09:21:34
ART_A-437;Created;14.06.2025 13:33:04
ART_A-437;Funnel;21.11.2025 14:43:50
ART_A-437;Program Backlog;02.11.2025 09:42:39
ART_A-437;Implementation;10.07.2025 10:52:24
ART_A-437;Program Backlog;30.06.2025 10:15:18
ART_A-437;Analysis;14.06.2025 17:04:23
ART_A-436;Created;14.06.2025 11:46:19
ART_A-436;Done;08.09.2025 11:40:20
ART_A-436;Implementation;08.09.2025 11:40:10
ART_A-436;Done;05.09.2025 11:44:42
ART_A-436;Implementation;03.07.2025 14:07:52
ART_A-434;Created;13.06.2025 14:11:35
ART_A-434;Done;11.09.2025 08:35:00
ART_A-434;Releasing;17.08.2025 10:21:21
ART_A-434;Implementation;10.07.2025 15:17:25
ART_A-434;Program Backlog;16.06.2025 14:15:27
ART_A-434;Analysis;13.06.2025 14:12:58
ART_A-431;Created;13.06.2025 10:22:31
ART_A-431;Done;12.09.2025 14:31:45
ART_A-431;Implementation;12.09.2025 14:03:27
ART_A-431;Done;12.09.2025 14:02:31
ART_A-431;Releasing;12.09.2025 14:00:00
ART_A-431;Implementation;18.08.2025 09:55:25
ART_A-431;Program Backlog;15.06.2025 14:21:07
ART_A-431;Analysis;13.06.2025 10:23:47
ART_A-430;Created;13.06.2025 10:05:37
ART_A-430;Done;14.11.2025 09:30:32
ART_A-430;Implementation;06.10.2025 11:06:13
ART_A-430;Program Backlog;12.09.2025 14:13:08
ART_A-430;Analysis;17.08.2025 14:04:32
ART_A-429;Created;13.06.2025 09:25:12
ART_A-429;Program Backlog;15.11.2025 15:23:17
ART_A-426;Created;12.06.2025 16:41:13
ART_A-426;Done;28.08.2025 13:00:01
ART_A-426;Releasing;23.08.2025 18:07:57
ART_A-426;Implementation;05.07.2025 13:14:58
ART_A-426;Program Backlog;15.06.2025 15:02:27
ART_A-426;Analysis;15.06.2025 13:00:46
ART_A-425;Created;07.06.2025 15:14:22
ART_A-425;Done;12.09.2025 09:24:37
ART_A-425;Releasing;01.09.2025 15:17:44
ART_A-425;Implementation;21.08.2025 13:17:56
ART_A-425;Program Backlog;20.06.2025 13:51:58
ART_A-425;Analysis;07.06.2025 15:14:27
ART_A-424;Created;07.06.2025 14:34:39
ART_A-424;Funnel;27.11.2025 11:14:34
ART_A-424;Analysis;31.10.2025 10:26:33
ART_A-424;Funnel;13.10.2025 16:17:35
ART_A-424;Analysis;01.09.2025 14:16:31
ART_A-423;Created;07.06.2025 14:30:24
ART_A-423;Done;08.11.2025 16:22:21
ART_A-423;Implementation;08.11.2025 11:15:32
ART_A-423;Funnel;31.10.2025 10:28:22
ART_A-423;Program Backlog;20.06.2025 13:52:36
ART_A-423;Analysis;07.06.2025 14:30:28
ART_A-422;Created;07.06.2025 14:27:19
ART_A-422;Funnel;31.10.2025 10:25:29
ART_A-422;Analysis;22.06.2025 15:37:02
ART_A-422;Program Backlog;20.06.2025 13:51:50
ART_A-422;Analysis;07.06.2025 14:29:18
ART_A-420;Created;07.06.2025 07:55:16
ART_A-420;Done;30.11.2025 07:29:05
ART_A-420;Releasing;30.11.2025 07:28:54
ART_A-420;Implementation;25.09.2025 14:11:25
ART_A-420;Program Backlog;12.09.2025 14:09:59
ART_A-420;Analysis;31.08.2025 14:59:56
ART_A-420;Funnel;31.08.2025 14:59:53
ART_A-420;Analysis;17.08.2025 13:47:06
ART_A-417;Created;06.06.2025 13:10:25
ART_A-417;Done;29.11.2025 16:24:53
ART_A-417;Releasing;22.11.2025 08:20:21
ART_A-417;Implementation;14.11.2025 11:09:05
ART_A-417;Program Backlog;20.06.2025 11:27:51
ART_A-417;Analysis;06.06.2025 15:07:42
ART_A-416;Created;06.06.2025 13:10:11
ART_A-416;Done;29.11.2025 16:24:32
ART_A-416;Releasing;22.11.2025 08:20:42
ART_A-416;Implementation;23.10.2025 13:14:26
ART_A-416;Program Backlog;20.06.2025 11:24:52
ART_A-416;Analysis;06.06.2025 15:07:49
ART_A-412;Created;17.05.2025 15:38:08
ART_A-412;Program Backlog;15.11.2025 15:22:47
ART_A-411;Created;17.05.2025 12:59:30
ART_A-411;Done;12.09.2025 14:02:15
ART_A-411;Releasing;16.08.2025 10:28:41
ART_A-411;Implementation;27.06.2025 10:24:57
ART_A-411;Program Backlog;15.06.2025 14:17:17
ART_A-411;Analysis;13.06.2025 10:07:12
